var,size,bit,cluster,score
abs_gx,11,10,0,0.0000
abs_gx,11,7,0,0.0000
abs_gx,11,8,0,0.0000
abs_gx,11,9,0,0.0000
abs_gy,11,10,0,0.0000
abs_gy,11,8,0,0.0000
abs_gy,11,9,0,0.0000
add_out_1,1,0,0,0.0000
add_out_2,1,0,0,0.0000
add_out_3,1,0,0,0.0000
add_out_4,1,0,0,0.0000
center_1,10,0,0,0.0000
center_1,10,9,0,0.0000
center_2,10,9,0,0.0000
center_3,10,0,0,0.0000
center_3,10,9,0,0.0000
center_4,10,9,0,0.0000
gx,11,10,0,0.0000
gx,11,9,0,0.0000
gx_2s_comp,11,10,0,0.0000
gx_2s_comp,11,6,0,0.0000
gx_2s_comp,11,7,0,0.0000
gx_2s_comp,11,8,0,0.0000
gx_2s_comp,11,9,0,0.0000
gx_comp,11,10,0,0.0000
gx_comp,11,6,0,0.0000
gx_comp,11,7,0,0.0000
gx_comp,11,8,0,0.0000
gx_comp,11,9,0,0.0000
gx_temp,10,9,0,0.0000
gy,11,10,0,0.0000
gy,11,9,0,0.0000
gy_2s_comp,11,10,0,0.0000
gy_2s_comp,11,8,0,0.0000
gy_2s_comp,11,9,0,0.0000
gy_comp,11,1,0,0.0000
gy_comp,11,10,0,0.0000
gy_comp,11,8,0,0.0000
gy_comp,11,9,0,0.0000
gy_temp,10,9,0,0.0000
p1_p7,9,8,0,0.0000
p5_p3,9,8,0,0.0000
sum,11,0,0,0.0000
sum,11,10,0,0.0000
sum,11,8,0,0.0000
sum,11,9,0,0.0000
gx_2s_comp,11,1,0,1.0000
p0_p6,9,1,0,1.6931
p2_p0,9,1,0,1.6931
abs_gx,11,1,0,2.0000
abs_gx,11,6,0,2.0000
center_3,10,1,0,2.0000
p1_p7,9,0,0,2.0000
gx_comp,11,0,0,2.3863
gy_2s_comp,11,1,0,2.3863
gy_comp,11,0,0,2.3863
p0_p6,9,0,0,2.6931
gx_comp,11,2,0,3.3026
gx_comp,11,1,0,3.3863
p2_p8,9,0,0,3.6931
center_4,10,0,0,4.3863
center_tm,9,0,0,4.3863
gy,11,0,0,4.3863
gy_temp,10,0,0,4.3863
center_4,10,1,0,4.7918
center_tm,9,1,0,4.7918
gy,11,1,0,4.7918
gy_temp,10,1,0,4.7918
p2_p0,9,0,0,5.4012
abs_gy,11,1,0,5.4849
p2_p8,9,1,0,5.4849
center_2,10,2,0,5.6391
center_rm,9,2,0,5.6391
p8_p6,9,1,0,5.8067
gx_comp,11,5,0,5.9890
gx_2s_comp,11,0,0,6.4012
gy_comp,11,2,0,6.7377
p8_p6,9,0,0,6.7377
gx,11,1,0,6.8067
gx_temp,10,1,0,6.8067
center_1,10,1,0,6.8904
p5_p3,9,0,0,6.8904
center_3,10,2,0,6.9957
p1_p7,9,1,0,6.9957
center_2,10,1,0,7.4998
center_rm,9,1,0,7.4998
gy_2s_comp,11,3,0,8.4308
gx_2s_comp,11,5,0,9.5539
gy_2s_comp,11,2,0,9.7185
gy_2s_comp,11,0,0,10.0403
gx_2s_comp,11,4,0,10.3969
gx_comp,11,4,0,10.3969
gx_2s_comp,11,2,0,11.1738
center_2,10,0,0,12.1389
center_rm,9,0,0,12.1389
gx,11,0,0,12.1389
gx_temp,10,0,0,12.1389
abs_gx,11,0,0,12.7334
abs_gy,11,0,0,12.7334
gy_comp,11,3,0,13.1389
gx_2s_comp,11,3,0,13.5750
gx_comp,11,3,0,13.5750
gy_2s_comp,11,7,0,15.1811
gy_comp,11,7,0,15.1811
abs_gx,11,5,0,16.4367
center_1,10,2,0,17.2183
p5_p3,9,1,0,17.2183
sum,11,1,0,18.2183
abs_gx,11,4,0,18.4913
center_4,10,2,0,19.2978
center_tm,9,2,0,19.2978
p0_p6,9,2,0,19.4223
abs_gx,11,3,0,23.6152
gx,11,3,0,23.9805
gx_temp,10,3,0,23.9805
p2_p8,9,2,0,24.4826
abs_gx,11,2,0,25.1053
gy,11,2,0,25.8167
gy_temp,10,2,0,25.8167
p8_p6,9,2,0,27.7583
abs_gy,11,7,0,27.9092
sum,11,2,0,28.2935
p2_p0,9,2,0,32.0111
abs_gy,11,2,0,32.1489
gx,11,2,0,33.8186
gx_temp,10,2,0,33.8186
gy_comp,11,4,0,36.2120
gy_2s_comp,11,4,0,37.3551
gy,11,3,0,41.5035
gy_temp,10,3,0,41.5035
abs_gy,11,3,0,42.1617
p2_p8,9,3,0,50.4972
center_2,10,3,0,51.0374
center_rm,9,3,0,51.0374
center_1,10,3,0,51.4305
p5_p3,9,2,0,51.4305
p8_p6,9,3,0,52.4046
p2_p0,9,3,0,52.6128
p0_p6,9,3,0,59.0801
sum,11,7,0,59.7473
center_4,10,3,0,65.7629
center_tm,9,3,0,65.7629
sum,11,3,0,66.6191
center_3,10,3,1,72.6149
p1_p7,9,2,1,72.6149
gy_2s_comp,11,5,1,76.6101
gy_comp,11,5,1,78.0765
center_1,10,4,1,82.2455
p5_p3,9,3,1,82.2455
p2_p0,9,4,1,82.5332
gx,11,4,1,84.3324
gx_temp,10,4,1,84.3324
p8_p6,9,4,1,85.2085
center_2,10,4,1,89.3071
center_rm,9,4,1,89.3071
p2_p8,9,5,1,90.5756
p0_p6,9,5,1,99.6258
p0_p6,9,4,1,100.3943
p2_p8,9,4,1,119.6662
center_4,10,4,1,122.5827
center_tm,9,4,1,122.5827
center_3,10,4,1,127.6918
p1_p7,9,3,1,127.6918
sum,11,4,1,133.3694
p0_p6,9,8,1,147.4334
p0_p6,9,6,1,154.9828
center_4,10,8,1,156.5209
center_tm,9,8,1,156.5209
p2_p8,9,8,1,157.4494
center_3,10,8,1,159.7948
p1_p7,9,7,1,159.7948
center_4,10,6,1,160.6840
center_tm,9,6,1,160.6840
gy,11,8,1,163.5847
gy_temp,10,8,1,163.5847
center_3,10,6,1,163.9580
p1_p7,9,5,1,163.9580
gy,11,4,1,164.1731
